XLitho	YLitho	wavelength
2e-05	4.5e-05	96
3e-05	4.5e-05	
		
1.925e-05	4.3e-05	
3.075e-05	4.3e-05	
		
1.85e-05	4.1e-05	
3.15e-05	4.1e-05	
		
1.775e-05	3.9e-05	
3.225e-05	3.9e-05	
		
2.7e-05	3.7e-05	
3.3e-05	3.7e-05	
		
1.7e-05	3.7e-05	
2.3e-05	3.7e-05	
		
3.375e-05	3.5e-05	
2.775e-05	3.5e-05	
		
1.625e-05	3.5e-05	
2.225e-05	3.5e-05	
		
3.45e-05	3.3e-05	
2.85e-05	3.3e-05	
		
1.55e-05	3.3e-05	
2.15e-05	3.3e-05	
		
3.525e-05	3.1e-05	
2.925e-05	3.1e-05	
		
1.475e-05	3.1e-05	
2.075e-05	3.1e-05	
		
3.6e-05	2.9e-05	
3e-05	2.9e-05	
		
1.4e-05	2.9e-05	
2e-05	2.9e-05	
		
3.675e-05	2.7e-05	
3.075e-05	2.7e-05	
		
1.325e-05	2.7e-05	
1.925e-05	2.7e-05	
		
1.25e-05	2.5e-05	
3.75e-05	2.5e-05	
		
1.175e-05	2.3e-05	
3.825e-05	2.3e-05	
		
1.1e-05	2.1e-05	
3.9e-05	2.1e-05	
		
1.025e-05	1.9e-05	
3.975e-05	1.9e-05	
		
4.05e-05	1.7e-05	
3.45e-05	1.7e-05	
		
9.5e-06	1.7e-05	
1.55e-05	1.7e-05	
		
4.125e-05	1.5e-05	
3.525e-05	1.5e-05	
		
8.75e-06	1.5e-05	
1.475e-05	1.5e-05	
		
4.2e-05	1.3e-05	
3.6e-05	1.3e-05	
		
8e-06	1.3e-05	
1.4e-05	1.3e-05	
		
4.275e-05	1.1e-05	
3.675e-05	1.1e-05	
		
7.25e-06	1.1e-05	
1.325e-05	1.1e-05	
		
4.35e-05	9e-06	
3.75e-05	9e-06	
		
6.5e-06	9e-06	
1.25e-05	9e-06	
		
4.425e-05	7e-06	
3.825e-05	7e-06	
		
5.75e-06	7e-06	
1.175e-05	7e-06	
	0	
