XLitho	YLitho	wavelength
4.5e-05	4.5e-05	60
1e-05	4.5e-05	
		
4.5e-05	4.3e-05	
8.25e-06	4.3e-05	
		
4.5e-05	4.1e-05	
6.5e-06	4.1e-05	
		
4.5e-05	3.9e-05	
5e-06	3.9e-05	
		
1.3e-05	3.7e-05	
5e-06	3.7e-05	
		
1.3e-05	3.5e-05	
5e-06	3.5e-05	
		
1.3e-05	3.3e-05	
5e-06	3.3e-05	
		
1.3e-05	3.1e-05	
5e-06	3.1e-05	
		
1.3e-05	2.9e-05	
5e-06	2.9e-05	
		
1.3e-05	2.7e-05	
5e-06	2.7e-05	
		
1.3e-05	2.5e-05	
5e-06	2.5e-05	
		
1.3e-05	2.3e-05	
5e-06	2.3e-05	
		
1.3e-05	2.1e-05	
5e-06	2.1e-05	
		
1.3e-05	1.9e-05	
5e-06	1.9e-05	
		
1.3e-05	1.7e-05	
5e-06	1.7e-05	
		
1.3e-05	1.5e-05	
5e-06	1.5e-05	
		
4.5e-05	1.3e-05	
5e-06	1.3e-05	
		
4.5e-05	1.1e-05	
6.5e-06	1.1e-05	
		
4.5e-05	9e-06	
8.25e-06	9e-06	
		
4.5e-05	7e-06	
1e-05	7e-06	
	0	
