XLitho	YLitho	wavelength
5e-06	4.5e-05	96
3.5e-05	4.5e-05	
		
5e-06	4.3e-05	
3.75e-05	4.3e-05	
		
5e-06	4.1e-05	
4e-05	4.1e-05	
		
5e-06	3.9e-05	
4.25e-05	3.9e-05	
		
3.7e-05	3.7e-05	
4.5e-05	3.7e-05	
		
5e-06	3.7e-05	
1.3e-05	3.7e-05	
		
3.7e-05	3.5e-05	
4.5e-05	3.5e-05	
		
5e-06	3.5e-05	
1.3e-05	3.5e-05	
		
4.5e-05	3.3e-05	
3.7e-05	3.3e-05	
		
5e-06	3.3e-05	
1.3e-05	3.3e-05	
		
4.5e-05	3.1e-05	
3.7e-05	3.1e-05	
		
5e-06	3.1e-05	
1.3e-05	3.1e-05	
		
4.5e-05	2.9e-05	
3.7e-05	2.9e-05	
		
5e-06	2.9e-05	
1.3e-05	2.9e-05	
		
4.5e-05	2.7e-05	
3.7e-05	2.7e-05	
		
5e-06	2.7e-05	
1.3e-05	2.7e-05	
		
4.5e-05	2.5e-05	
3.7e-05	2.5e-05	
		
5e-06	2.5e-05	
1.3e-05	2.5e-05	
		
4.5e-05	2.3e-05	
3.7e-05	2.3e-05	
		
5e-06	2.3e-05	
1.3e-05	2.3e-05	
		
4.5e-05	2.1e-05	
3.7e-05	2.1e-05	
		
5e-06	2.1e-05	
1.3e-05	2.1e-05	
		
4.5e-05	1.9e-05	
3.7e-05	1.9e-05	
		
5e-06	1.9e-05	
1.3e-05	1.9e-05	
		
4.5e-05	1.7e-05	
3.7e-05	1.7e-05	
		
5e-06	1.7e-05	
1.3e-05	1.7e-05	
		
4.5e-05	1.5e-05	
3.7e-05	1.5e-05	
		
5e-06	1.5e-05	
1.3e-05	1.5e-05	
		
5e-06	1.3e-05	
4.25e-05	1.3e-05	
		
5e-06	1.1e-05	
4e-05	1.1e-05	
		
5e-06	9e-06	
3.75e-05	9e-06	
		
5e-06	7e-06	
3.5e-05	7e-06	
		
