XLitho	YLitho	wavelength
7.629683e-06	1.27927e-05	1209
7.867435e-06	1.27927e-05	
		
7.586455e-06	1.258637e-05	
8.472622e-06	1.258637e-05	
		
7.608069e-06	1.238003e-05	
9.012968e-06	1.238003e-05	
		
7.564841e-06	1.21737e-05	
8.991354e-06	1.21737e-05	
		
7.564841e-06	1.196736e-05	
8.904899e-06	1.196736e-05	
		
7.586455e-06	1.176103e-05	
8.818444e-06	1.176103e-05	
		
7.543228e-06	1.15547e-05	
8.710375e-06	1.15547e-05	
		
7.521614e-06	1.134836e-05	
8.667147e-06	1.134836e-05	
		
7.5e-06	1.114203e-05	
8.602305e-06	1.114203e-05	
		
7.5e-06	1.093569e-05	
8.494236e-06	1.093569e-05	
		
7.478386e-06	1.072936e-05	
8.429395e-06	1.072936e-05	
		
6.657061e-06	1.052303e-05	
8.299712e-06	1.052303e-05	
		
8.342939e-06	1.526871e-05	
9.25072e-06	1.526871e-05	
		
8.321326e-06	1.506237e-05	
9.229107e-06	1.506237e-05	
		
8.299712e-06	1.485604e-05	
9.207493e-06	1.485604e-05	
		
8.278098e-06	1.46497e-05	
9.207493e-06	1.46497e-05	
		
8.299712e-06	1.444337e-05	
9.185879e-06	1.444337e-05	
		
8.256484e-06	1.423704e-05	
9.164265e-06	1.423704e-05	
		
8.191643e-06	1.40307e-05	
9.164265e-06	1.40307e-05	
		
8.148415e-06	1.382437e-05	
9.142651e-06	1.382437e-05	
		
8.170029e-06	1.361803e-05	
9.121037e-06	1.361803e-05	
		
8.083573e-06	1.34117e-05	
1.013689e-05	1.34117e-05	
		
8.148415e-06	1.320537e-05	
1.005043e-05	1.320537e-05	
		
8.407781e-06	1.299903e-05	
9.942363e-06	1.299903e-05	
		
8.948127e-06	1.27927e-05	
9.81268e-06	1.27927e-05	
		
9.402017e-06	1.258637e-05	
9.747839e-06	1.258637e-05	
		
9.574928e-06	1.238003e-05	
9.682997e-06	1.238003e-05	
		
9.35879e-06	1.361803e-05	
1.024496e-05	1.361803e-05	
		
9.402017e-06	1.382437e-05	
1.043948e-05	1.382437e-05	
		
9.510086e-06	1.40307e-05	
1.054755e-05	1.40307e-05	
		
9.639769e-06	1.423704e-05	
1.059078e-05	1.423704e-05	
		
9.726225e-06	1.444337e-05	
1.072046e-05	1.444337e-05	
		
9.834294e-06	1.46497e-05	
1.085014e-05	1.46497e-05	
		
9.963977e-06	1.485604e-05	
1.095821e-05	1.485604e-05	
		
1.007205e-05	1.506237e-05	
1.106628e-05	1.506237e-05	
		
1.020173e-05	1.526871e-05	
1.117435e-05	1.526871e-05	
		
1.309798e-05	1.526871e-05	
1.426513e-05	1.526871e-05	
		
1.29683e-05	1.506237e-05	
1.407061e-05	1.506237e-05	
		
1.275216e-05	1.485604e-05	
1.389769e-05	1.485604e-05	
		
1.257925e-05	1.46497e-05	
1.370317e-05	1.46497e-05	
		
1.247118e-05	1.444337e-05	
1.357349e-05	1.444337e-05	
		
1.227666e-05	1.423704e-05	
1.346542e-05	1.423704e-05	
		
1.216859e-05	1.40307e-05	
1.331412e-05	1.40307e-05	
		
1.197406e-05	1.382437e-05	
1.309798e-05	1.382437e-05	
		
1.177954e-05	1.361803e-05	
1.290346e-05	1.361803e-05	
		
1.167147e-05	1.34117e-05	
1.277378e-05	1.34117e-05	
		
1.262248e-05	1.320537e-05	
1.147695e-05	1.320537e-05	
		
1.132565e-05	1.299903e-05	
1.242795e-05	1.299903e-05	
		
1.115274e-05	1.27927e-05	
1.229827e-05	1.27927e-05	
		
1.100144e-05	1.258637e-05	
1.212536e-05	1.258637e-05	
		
1.085014e-05	1.238003e-05	
1.199568e-05	1.238003e-05	
		
1.069885e-05	1.21737e-05	
1.186599e-05	1.21737e-05	
		
1.052594e-05	1.196736e-05	
1.164986e-05	1.196736e-05	
		
1.065562e-05	1.176103e-05	
1.324928e-05	1.176103e-05	
		
1.208213e-05	1.196736e-05	
1.350865e-05	1.196736e-05	
		
1.236311e-05	1.21737e-05	
1.376801e-05	1.21737e-05	
		
1.255764e-05	1.238003e-05	
1.415706e-05	1.238003e-05	
		
1.286023e-05	1.258637e-05	
1.439481e-05	1.258637e-05	
		
1.316282e-05	1.27927e-05	
1.478386e-05	1.27927e-05	
		
1.337896e-05	1.299903e-05	
1.495677e-05	1.299903e-05	
		
1.365994e-05	1.320537e-05	
1.497839e-05	1.320537e-05	
		
1.383285e-05	1.34117e-05	
1.495677e-05	1.34117e-05	
		
1.42219e-05	1.361803e-05	
1.495677e-05	1.361803e-05	
		
1.441643e-05	1.382437e-05	
1.491354e-05	1.382437e-05	
		
1.467579e-05	1.40307e-05	
1.491354e-05	1.40307e-05	
		
1.087176e-05	1.15547e-05	
1.301153e-05	1.15547e-05	
		
1.102305e-05	1.134836e-05	
1.268732e-05	1.134836e-05	
		
1.130403e-05	1.114203e-05	
1.23415e-05	1.114203e-05	
		
1.15634e-05	1.093569e-05	
1.201729e-05	1.093569e-05	
		
1.162824e-05	1.072936e-05	
1.175793e-05	1.072936e-05	
		
5.230548e-06	1.031669e-05	
8.559078e-06	1.031669e-05	
		
5.446686e-06	1.011036e-05	
8.948127e-06	1.011036e-05	
		
5.554755e-06	9.904025e-06	
9.121037e-06	9.904025e-06	
		
5.403458e-06	9.697691e-06	
1.130403e-05	9.697691e-06	
		
9.574928e-06	9.904025e-06	
1.169308e-05	9.904025e-06	
		
9.661383e-06	1.011036e-05	
1.167147e-05	1.011036e-05	
		
9.920749e-06	1.031669e-05	
1.158501e-05	1.031669e-05	
		
1.01585e-05	1.052303e-05	
1.132565e-05	1.052303e-05	
		
1.037464e-05	1.072936e-05	
1.123919e-05	1.072936e-05	
		
1.059078e-05	1.093569e-05	
1.10879e-05	1.093569e-05	
		
1.072046e-05	1.114203e-05	
1.089337e-05	1.114203e-05	
		
1.476225e-05	1.093569e-05	
1.487032e-05	1.093569e-05	
		
1.432997e-05	1.072936e-05	
1.495677e-05	1.072936e-05	
		
1.376801e-05	1.052303e-05	
1.495677e-05	1.052303e-05	
		
1.327089e-05	1.031669e-05	
1.493516e-05	1.031669e-05	
		
1.279539e-05	1.011036e-05	
1.495677e-05	1.011036e-05	
		
1.231988e-05	9.904025e-06	
1.474063e-05	9.904025e-06	
		
1.212536e-05	9.697691e-06	
1.413545e-05	9.697691e-06	
		
1.221182e-05	9.491358e-06	
1.365994e-05	9.491358e-06	
		
1.221182e-05	9.285024e-06	
1.31196e-05	9.285024e-06	
		
1.225504e-05	9.07869e-06	
1.493516e-05	9.07869e-06	
		
1.227666e-05	8.872356e-06	
1.493516e-05	8.872356e-06	
		
1.229827e-05	8.666022e-06	
1.491354e-05	8.666022e-06	
		
1.229827e-05	8.459688e-06	
1.491354e-05	8.459688e-06	
		
1.229827e-05	8.253354e-06	
1.491354e-05	8.253354e-06	
		
1.23415e-05	8.047021e-06	
1.251441e-05	8.047021e-06	
		
7.975504e-06	9.491358e-06	
1.089337e-05	9.491358e-06	
		
8.299712e-06	9.285024e-06	
1.050432e-05	9.285024e-06	
		
8.667147e-06	9.07869e-06	
9.899135e-06	9.07869e-06	
		
8.753602e-06	8.872356e-06	
9.855908e-06	8.872356e-06	
		
8.883285e-06	8.666022e-06	
9.942363e-06	8.666022e-06	
		
8.969741e-06	8.459688e-06	
9.985591e-06	8.459688e-06	
		
9.056196e-06	8.253354e-06	
1.00072e-05	8.253354e-06	
		
9.07781e-06	8.047021e-06	
1.002882e-05	8.047021e-06	
		
9.056196e-06	7.840687e-06	
1.005043e-05	7.840687e-06	
		
8.991354e-06	7.634353e-06	
1.214697e-05	7.634353e-06	
		
8.948127e-06	7.428019e-06	
1.216859e-05	7.428019e-06	
		
8.904899e-06	7.221685e-06	
1.206052e-05	7.221685e-06	
		
8.753602e-06	7.015351e-06	
1.199568e-05	7.015351e-06	
		
8.602305e-06	6.809017e-06	
9.726225e-06	6.809017e-06	
		
1.018012e-05	6.809017e-06	
1.190922e-05	6.809017e-06	
		
1.076369e-05	6.602684e-06	
1.188761e-05	6.602684e-06	
		
1.126081e-05	6.39635e-06	
1.184438e-05	6.39635e-06	
		
1.15634e-05	6.190016e-06	
1.173631e-05	6.190016e-06	
		
1.247118e-05	7.015351e-06	
1.268732e-05	7.015351e-06	
		
1.238473e-05	6.809017e-06	
1.407061e-05	6.809017e-06	
		
1.236311e-05	6.602684e-06	
1.489193e-05	6.602684e-06	
		
1.231988e-05	6.39635e-06	
1.497839e-05	6.39635e-06	
		
1.21902e-05	6.190016e-06	
1.298991e-05	6.190016e-06	
		
1.37464e-05	6.190016e-06	
1.493516e-05	6.190016e-06	
		
1.430836e-05	5.983682e-06	
1.493516e-05	5.983682e-06	
		
1.206052e-05	5.983682e-06	
1.288184e-05	5.983682e-06	
		
1.190922e-05	5.777348e-06	
1.318444e-05	5.777348e-06	
		
1.193084e-05	5.571014e-06	
1.365994e-05	5.571014e-06	
		
1.227666e-05	5.36468e-06	
1.404899e-05	5.36468e-06	
		
1.262248e-05	5.158347e-06	
1.445965e-05	5.158347e-06	
		
1.305476e-05	4.952013e-06	
1.482709e-05	4.952013e-06	
		
1.335735e-05	4.745679e-06	
1.5e-05	4.745679e-06	
		
1.363833e-05	4.539345e-06	
1.495677e-05	4.539345e-06	
		
1.404899e-05	4.333011e-06	
1.491354e-05	4.333011e-06	
		
1.448127e-05	4.126677e-06	
1.495677e-05	4.126677e-06	
		
1.478386e-05	3.920343e-06	
1.491354e-05	3.920343e-06	
		
8.386167e-06	6.602684e-06	
9.661383e-06	6.602684e-06	
		
7.95389e-06	6.39635e-06	
9.618156e-06	6.39635e-06	
		
9.445245e-06	6.190016e-06	
3.804035e-06	6.190016e-06	
		
9.272334e-06	5.983682e-06	
3.242075e-06	5.983682e-06	
		
9.207493e-06	5.777348e-06	
