XLitho	YLitho	wavelength
5.743314e-06	1.479452e-05	513
7.283667e-06	1.479452e-05	
		
5.721309e-06	1.458904e-05	
7.305672e-06	1.458904e-05	
		
5.677299e-06	1.438356e-05	
7.305672e-06	1.438356e-05	
		
6.38146e-06	1.417808e-05	
6.579506e-06	1.417808e-05	
		
6.403465e-06	1.39726e-05	
6.601511e-06	1.39726e-05	
		
6.359455e-06	1.376712e-05	
6.623516e-06	1.376712e-05	
		
6.359455e-06	1.356164e-05	
6.557501e-06	1.356164e-05	
		
6.359455e-06	1.335616e-05	
6.623516e-06	1.335616e-05	
		
4.379002e-06	1.315068e-05	
8.449934e-06	1.315068e-05	
		
4.379002e-06	1.294521e-05	
8.471939e-06	1.294521e-05	
		
4.445017e-06	1.273973e-05	
4.599052e-06	1.273973e-05	
		
4.423012e-06	1.253425e-05	
4.599052e-06	1.253425e-05	
		
4.423012e-06	1.232877e-05	
4.599052e-06	1.232877e-05	
		
4.401007e-06	1.212329e-05	
4.621057e-06	1.212329e-05	
		
4.401007e-06	1.191781e-05	
4.577047e-06	1.191781e-05	
		
4.423012e-06	1.171233e-05	
4.621057e-06	1.171233e-05	
		
4.423012e-06	1.150685e-05	
4.599052e-06	1.150685e-05	
		
4.423012e-06	1.130137e-05	
4.577047e-06	1.130137e-05	
		
4.401007e-06	1.109589e-05	
4.577047e-06	1.109589e-05	
		
8.317903e-06	1.273973e-05	
8.493944e-06	1.273973e-05	
		
8.273893e-06	1.253425e-05	
8.471939e-06	1.253425e-05	
		
8.251888e-06	1.232877e-05	
8.449934e-06	1.232877e-05	
		
8.273893e-06	1.212329e-05	
8.449934e-06	1.212329e-05	
		
8.251888e-06	1.191781e-05	
8.471939e-06	1.191781e-05	
		
8.251888e-06	1.171233e-05	
8.427929e-06	1.171233e-05	
		
8.295898e-06	1.150685e-05	
8.427929e-06	1.150685e-05	
		
8.295898e-06	1.130137e-05	
8.449934e-06	1.130137e-05	
		
8.251888e-06	1.109589e-05	
8.449934e-06	1.109589e-05	
		
3.740856e-06	1.089041e-05	
9.1761e-06	1.089041e-05	
		
3.718851e-06	1.068493e-05	
9.198105e-06	1.068493e-05	
		
3.718851e-06	1.047945e-05	
9.198105e-06	1.047945e-05	
		
2.332534e-06	1.027397e-05	
4.290982e-06	1.027397e-05	
		
8.603969e-06	1.027397e-05	
1.054041e-05	1.027397e-05	
		
8.603969e-06	1.006849e-05	
1.058442e-05	1.006849e-05	
		
8.559959e-06	9.863014e-06	
1.056242e-05	9.863014e-06	
		
8.603969e-06	9.657534e-06	
9.154095e-06	9.657534e-06	
		
8.581964e-06	9.452055e-06	
9.1761e-06	9.452055e-06	
		
8.603969e-06	9.246575e-06	
9.13209e-06	9.246575e-06	
		
2.354539e-06	1.006849e-05	
8.515949e-06	1.006849e-05	
		
4.312987e-06	1.027397e-05	
8.559959e-06	1.027397e-05	
		
2.310529e-06	9.863014e-06	
8.537954e-06	9.863014e-06	
		
3.740856e-06	9.657534e-06	
8.625974e-06	9.657534e-06	
		
3.784866e-06	9.452055e-06	
8.647979e-06	9.452055e-06	
		
3.740856e-06	9.246575e-06	
8.559959e-06	9.246575e-06	
		
3.762861e-06	9.041096e-06	
9.22011e-06	9.041096e-06	
		
2.332534e-06	8.835616e-06	
1.054041e-05	8.835616e-06	
		
2.332534e-06	8.630137e-06	
1.056242e-05	8.630137e-06	
		
2.332534e-06	8.424658e-06	
1.060643e-05	8.424658e-06	
		
3.740856e-06	8.219178e-06	
9.22011e-06	8.219178e-06	
		
3.740856e-06	8.013699e-06	
9.1761e-06	8.013699e-06	
		
3.762861e-06	7.808219e-06	
9.1761e-06	7.808219e-06	
		
3.740856e-06	7.60274e-06	
9.1761e-06	7.60274e-06	
		
2.354539e-06	7.39726e-06	
1.056242e-05	7.39726e-06	
		
2.332534e-06	7.191781e-06	
1.056242e-05	7.191781e-06	
		
2.354539e-06	6.986301e-06	
1.056242e-05	6.986301e-06	
		
3.762861e-06	6.780822e-06	
9.198105e-06	6.780822e-06	
		
3.740856e-06	6.575342e-06	
9.154095e-06	6.575342e-06	
		
3.762861e-06	6.369863e-06	
9.154095e-06	6.369863e-06	
		
2.354539e-06	6.164384e-06	
1.054041e-05	6.164384e-06	
		
2.354539e-06	5.958904e-06	
1.054041e-05	5.958904e-06	
		
2.332534e-06	5.753425e-06	
1.054041e-05	5.753425e-06	
		
3.806871e-06	5.547945e-06	
9.1761e-06	5.547945e-06	
		
3.740856e-06	5.342466e-06	
9.22011e-06	5.342466e-06	
		
3.762861e-06	5.136986e-06	
9.22011e-06	5.136986e-06	
		
3.740856e-06	4.931507e-06	
9.22011e-06	4.931507e-06	
		
2.310529e-06	4.726027e-06	
1.058442e-05	4.726027e-06	
		
2.310529e-06	4.520548e-06	
1.056242e-05	4.520548e-06	
		
2.288524e-06	4.315068e-06	
1.058442e-05	4.315068e-06	
		
3.784866e-06	4.109589e-06	
9.1761e-06	4.109589e-06	
		
3.762861e-06	3.90411e-06	
9.22011e-06	3.90411e-06	
		
3.740856e-06	3.69863e-06	
9.242115e-06	3.69863e-06	
		
4.312987e-06	3.493151e-06	
4.533037e-06	3.493151e-06	
		
4.334992e-06	3.287671e-06	
4.511032e-06	3.287671e-06	
		
4.312987e-06	3.082192e-06	
4.511032e-06	3.082192e-06	
		
4.268977e-06	2.876712e-06	
4.533037e-06	2.876712e-06	
		
4.290982e-06	2.671233e-06	
4.511032e-06	2.671233e-06	
		
4.312987e-06	2.465753e-06	
4.489027e-06	2.465753e-06	
		
4.312987e-06	2.260274e-06	
4.555042e-06	2.260274e-06	
		
4.290982e-06	2.054795e-06	
4.511032e-06	2.054795e-06	
		
8.361913e-06	3.493151e-06	
8.515949e-06	3.493151e-06	
		
8.317903e-06	3.287671e-06	
8.515949e-06	3.287671e-06	
		
8.273893e-06	3.082192e-06	
8.493944e-06	3.082192e-06	
		
8.317903e-06	2.876712e-06	
8.515949e-06	2.876712e-06	
		
8.295898e-06	2.671233e-06	
8.537954e-06	2.671233e-06	
		
8.317903e-06	2.465753e-06	
8.581964e-06	2.465753e-06	
		
8.251888e-06	2.260274e-06	
8.559959e-06	2.260274e-06	
		
8.273893e-06	2.054795e-06	
8.537954e-06	2.054795e-06	
		
4.026921e-06	1.849315e-06	
8.581964e-06	1.849315e-06	
		
4.004916e-06	1.643836e-06	
8.603969e-06	1.643836e-06	
		
6.24943e-06	1.438356e-06	
6.535496e-06	1.438356e-06	
		
6.227425e-06	1.232877e-06	
6.491485e-06	1.232877e-06	
		
6.20542e-06	1.027397e-06	
6.535496e-06	1.027397e-06	
		
6.183415e-06	8.219178e-07	
6.535496e-06	8.219178e-07	
		
6.20542e-06	6.164384e-07	
6.579506e-06	6.164384e-07	
		
5.501259e-06	4.109589e-07	
7.019606e-06	4.109589e-07	
		
5.523264e-06	2.054795e-07	
7.041611e-06	2.054795e-07	
		
5.501259e-06	0	
7.041611e-06	0	
		
0	1.109589e-05	
1.540352e-06	1.109589e-05	
		
6.601511e-08	1.089041e-05	
1.518347e-06	1.089041e-05	
		
6.601511e-08	1.068493e-05	
1.518347e-06	1.068493e-05	
		
8.802014e-08	1.047945e-05	
1.540352e-06	1.047945e-05	
		
6.601511e-08	1.027397e-05	
1.518347e-06	1.027397e-05	
		
8.802014e-08	1.006849e-05	
1.540352e-06	1.006849e-05	
		
6.601511e-08	9.863014e-06	
1.540352e-06	9.863014e-06	
		
8.802014e-08	9.657534e-06	
1.474337e-06	9.657534e-06	
		
6.601511e-08	9.452055e-06	
3.476796e-06	9.452055e-06	
		
2.200504e-08	9.246575e-06	
3.300755e-06	9.246575e-06	
		
8.802014e-08	9.041096e-06	
1.496342e-06	9.041096e-06	
		
6.601511e-08	8.835616e-06	
1.518347e-06	8.835616e-06	
		
6.601511e-08	8.630137e-06	
1.474337e-06	8.630137e-06	
		
6.601511e-08	8.424658e-06	
1.540352e-06	8.424658e-06	
		
2.200504e-08	8.219178e-06	
1.496342e-06	8.219178e-06	
		
8.802014e-08	8.013699e-06	
3.23474e-06	8.013699e-06	
		
3.212735e-06	7.808219e-06	
6.601511e-08	7.808219e-06	
		
8.802014e-08	7.60274e-06	
1.518347e-06	7.60274e-06	
		
4.401007e-08	7.39726e-06	
1.496342e-06	7.39726e-06	
		
6.601511e-08	7.191781e-06	
1.540352e-06	7.191781e-06	
		
6.601511e-08	6.986301e-06	
1.518347e-06	6.986301e-06	
		
1.100252e-07	3.69863e-06	
1.474337e-06	3.69863e-06	
		
8.802014e-08	3.90411e-06	
1.518347e-06	3.90411e-06	
		
8.802014e-08	4.109589e-06	
1.540352e-06	4.109589e-06	
		
6.601511e-08	4.315068e-06	
1.518347e-06	4.315068e-06	
		
4.401007e-08	4.520548e-06	
1.518347e-06	4.520548e-06	
		
6.601511e-08	4.726027e-06	
1.540352e-06	4.726027e-06	
		
8.802014e-08	4.931507e-06	
1.452332e-06	4.931507e-06	
		
4.401007e-08	5.547945e-06	
1.540352e-06	5.547945e-06	
		
6.601511e-08	5.753425e-06	
1.540352e-06	5.753425e-06	
		
4.401007e-08	5.958904e-06	
1.496342e-06	5.958904e-06	
		
4.401007e-08	6.164384e-06	
1.496342e-06	6.164384e-06	
		
8.802014e-08	6.575342e-06	
3.124715e-06	6.575342e-06	
		
6.601511e-08	6.780822e-06	
1.804413e-06	6.780822e-06	
		
4.401007e-08	6.369863e-06	
1.672383e-06	6.369863e-06	
		
3.124715e-06	5.342466e-06	
2.200504e-08	5.342466e-06	
		
6.601511e-08	5.136986e-06	
3.10271e-06	5.136986e-06	
		
1.13546e-05	1.109589e-05	
1.287295e-05	1.109589e-05	
		
1.13546e-05	1.089041e-05	
1.287295e-05	1.089041e-05	
		
1.13546e-05	1.068493e-05	
1.285094e-05	1.068493e-05	
		
1.13546e-05	1.047945e-05	
1.287295e-05	1.047945e-05	
		
1.13766e-05	1.027397e-05	
1.282894e-05	1.027397e-05	
		
1.139861e-05	1.006849e-05	
1.285094e-05	1.006849e-05	
		
1.13546e-05	9.863014e-06	
1.282894e-05	9.863014e-06	
		
1.13766e-05	9.657534e-06	
1.285094e-05	9.657534e-06	
		
9.462165e-06	9.452055e-06	
1.278493e-05	9.452055e-06	
		
9.704221e-06	9.246575e-06	
1.280693e-05	9.246575e-06	
		
1.144262e-05	9.041096e-06	
1.280693e-05	9.041096e-06	
		
1.139861e-05	8.835616e-06	
1.287295e-05	8.835616e-06	
		
1.13546e-05	8.630137e-06	
1.282894e-05	8.630137e-06	
		
1.139861e-05	8.424658e-06	
1.285094e-05	8.424658e-06	
		
1.142061e-05	8.219178e-06	
1.285094e-05	8.219178e-06	
		
9.726226e-06	8.013699e-06	
1.285094e-05	8.013699e-06	
		
9.726226e-06	7.808219e-06	
1.285094e-05	7.808219e-06	
		
1.142061e-05	7.60274e-06	
1.285094e-05	7.60274e-06	
		
1.13766e-05	7.39726e-06	
1.280693e-05	7.39726e-06	
		
1.139861e-05	7.191781e-06	
1.280693e-05	7.191781e-06	
		
1.139861e-05	6.986301e-06	
1.282894e-05	6.986301e-06	
		
9.726226e-06	6.575342e-06	
1.282894e-05	6.575342e-06	
		
1.104653e-05	6.780822e-06	
1.285094e-05	6.780822e-06	
		
1.106853e-05	6.369863e-06	
1.282894e-05	6.369863e-06	
		
1.139861e-05	6.164384e-06	
1.285094e-05	6.164384e-06	
		
1.13766e-05	5.958904e-06	
1.285094e-05	5.958904e-06	
		
1.13546e-05	5.753425e-06	
1.282894e-05	5.753425e-06	
		
1.139861e-05	5.547945e-06	
1.285094e-05	5.547945e-06	
		
1.280693e-05	3.69863e-06	
1.139861e-05	3.69863e-06	
		
1.285094e-05	3.90411e-06	
1.13546e-05	3.90411e-06	
		
1.289495e-05	4.109589e-06	
1.13546e-05	4.109589e-06	
		
1.282894e-05	4.315068e-06	
1.13766e-05	4.315068e-06	
		
1.285094e-05	4.520548e-06	
1.133259e-05	4.520548e-06	
		
1.282894e-05	4.726027e-06	
1.139861e-05	4.726027e-06	
		
1.282894e-05	4.931507e-06	
1.144262e-05	4.931507e-06	
		
1.285094e-05	5.136986e-06	
9.748231e-06	5.136986e-06	
		
9.792241e-06	5.342466e-06	
1.287295e-05	5.342466e-06	
