XLitho	YLitho	wavelength
0	1e-05	225
1.5e-05	1e-05	
		
1.5e-05	9.875e-06	
0	9.875e-06	
		
0	9.75e-06	
1.5e-05	9.75e-06	
		
1.5e-05	9.625e-06	
0	9.625e-06	
		
0	9.5e-06	
1.5e-05	9.5e-06	
		
1.5e-05	9.375e-06	
0	9.375e-06	
		
0	9.25e-06	
1.5e-05	9.25e-06	
		
1.5e-05	9.125e-06	
0	9.125e-06	
		
0	9e-06	
1.5e-05	9e-06	
		
1.5e-05	8.875e-06	
0	8.875e-06	
		
0	8.75e-06	
1.5e-05	8.75e-06	
		
1.5e-05	8.625e-06	
0	8.625e-06	
		
0	8.5e-06	
1.5e-05	8.5e-06	
		
1.5e-05	8.375e-06	
0	8.375e-06	
		
0	8.25e-06	
1.5e-05	8.25e-06	
		
1.5e-05	8.125e-06	
0	8.125e-06	
		
0	8e-06	
1.5e-05	8e-06	
		
1.5e-05	7.875e-06	
0	7.875e-06	
		
0	7.75e-06	
1.5e-05	7.75e-06	
		
1.5e-05	7.625e-06	
0	7.625e-06	
		
0	7.5e-06	
1.5e-05	7.5e-06	
		
1.5e-05	7.375e-06	
0	7.375e-06	
		
0	7.25e-06	
1.5e-05	7.25e-06	
		
1.5e-05	7.125e-06	
0	7.125e-06	
		
0	7e-06	
1.5e-05	7e-06	
		
1.5e-05	6.875e-06	
0	6.875e-06	
		
0	6.75e-06	
1.5e-05	6.75e-06	
		
1.5e-05	6.625e-06	
0	6.625e-06	
		
0	6.5e-06	
1.5e-05	6.5e-06	
		
1.5e-05	6.375e-06	
0	6.375e-06	
		
0	6.25e-06	
1.5e-05	6.25e-06	
		
1.5e-05	6.125e-06	
0	6.125e-06	
		
0	6e-06	
1.5e-05	6e-06	
		
1.5e-05	5.875e-06	
0	5.875e-06	
		
0	5.75e-06	
1.5e-05	5.75e-06	
		
1.5e-05	5.625e-06	
0	5.625e-06	
		
0	5.5e-06	
1.5e-05	5.5e-06	
		
1.5e-05	5.375e-06	
0	5.375e-06	
		
0	5.25e-06	
1.5e-05	5.25e-06	
		
1.5e-05	5.125e-06	
0	5.125e-06	
		
0	5e-06	
1.5e-05	5e-06	
		
1.5e-05	4.875e-06	
0	4.875e-06	
		
0	4.75e-06	
1.5e-05	4.75e-06	
		
1.5e-05	4.625e-06	
0	4.625e-06	
		
0	4.5e-06	
1.5e-05	4.5e-06	
		
1.5e-05	4.375e-06	
0	4.375e-06	
		
0	4.25e-06	
1.5e-05	4.25e-06	
		
1.5e-05	4.125e-06	
0	4.125e-06	
		
0	4e-06	
1.5e-05	4e-06	
		
1.5e-05	3.875e-06	
0	3.875e-06	
		
0	3.75e-06	
1.5e-05	3.75e-06	
		
1.5e-05	3.625e-06	
0	3.625e-06	
		
0	3.5e-06	
1.5e-05	3.5e-06	
		
1.5e-05	3.375e-06	
0	3.375e-06	
		
0	3.25e-06	
1.5e-05	3.25e-06	
		
1.5e-05	3.125e-06	
0	3.125e-06	
		
0	3e-06	
1.5e-05	3e-06	
		
1.5e-05	2.875e-06	
0	2.875e-06	
		
0	2.75e-06	
1.5e-05	2.75e-06	
		
1.5e-05	2.625e-06	
0	2.625e-06	
		
0	2.5e-06	
1.5e-05	2.5e-06	
		
1.5e-05	2.375e-06	
0	2.375e-06	
		
0	2.25e-06	
1.5e-05	2.25e-06	
		
1.5e-05	2.125e-06	
0	2.125e-06	
		
0	2e-06	
1.5e-05	2e-06	
		
1.5e-05	1.875e-06	
0	1.875e-06	
		
0	1.75e-06	
1.5e-05	1.75e-06	
		
1.5e-05	1.625e-06	
0	1.625e-06	
		
0	1.5e-06	
1.5e-05	1.5e-06	
		
1.5e-05	1.375e-06	
0	1.375e-06	
		
0	1.25e-06	
1.5e-05	1.25e-06	
		
1.5e-05	1.125e-06	
0	1.125e-06	
		
0	1e-06	
1.5e-05	1e-06	
		
1.5e-05	8.75e-07	
0	8.75e-07	
		
0	7.5e-07	
1.5e-05	7.5e-07	
		
