XLitho	YLitho	wavelength
0	1.5e-05	225
1.5e-05	1.5e-05	
		
1.5e-05	1.48e-05	
0	1.48e-05	
		
0	1.46e-05	
1.5e-05	1.46e-05	
		
1.5e-05	1.44e-05	
0	1.44e-05	
		
0	1.42e-05	
1.5e-05	1.42e-05	
		
1.5e-05	1.4e-05	
0	1.4e-05	
		
0	1.38e-05	
1.5e-05	1.38e-05	
		
1.5e-05	1.36e-05	
0	1.36e-05	
		
0	1.34e-05	
1.5e-05	1.34e-05	
		
1.5e-05	1.32e-05	
0	1.32e-05	
		
0	1.3e-05	
1.5e-05	1.3e-05	
		
1.5e-05	1.28e-05	
0	1.28e-05	
		
0	1.26e-05	
1.5e-05	1.26e-05	
		
1.5e-05	1.24e-05	
0	1.24e-05	
		
0	1.22e-05	
1.5e-05	1.22e-05	
		
1.5e-05	1.2e-05	
0	1.2e-05	
		
0	1.18e-05	
1.5e-05	1.18e-05	
		
1.5e-05	1.16e-05	
0	1.16e-05	
		
0	1.14e-05	
1.5e-05	1.14e-05	
		
1.5e-05	1.12e-05	
0	1.12e-05	
		
0	1.1e-05	
1.5e-05	1.1e-05	
		
1.5e-05	1.08e-05	
0	1.08e-05	
		
0	1.06e-05	
1.5e-05	1.06e-05	
		
1.5e-05	1.04e-05	
0	1.04e-05	
		
0	1.02e-05	
1.5e-05	1.02e-05	
		
1.5e-05	1e-05	
0	1e-05	
		
0	9.8e-06	
1.5e-05	9.8e-06	
		
1.5e-05	9.6e-06	
0	9.6e-06	
		
0	9.4e-06	
1.5e-05	9.4e-06	
		
1.5e-05	9.2e-06	
0	9.2e-06	
		
0	9e-06	
1.5e-05	9e-06	
		
1.5e-05	8.8e-06	
0	8.8e-06	
		
0	8.6e-06	
1.5e-05	8.6e-06	
		
1.5e-05	8.4e-06	
0	8.4e-06	
		
0	8.2e-06	
1.5e-05	8.2e-06	
		
1.5e-05	8e-06	
0	8e-06	
		
0	7.8e-06	
1.5e-05	7.8e-06	
		
1.5e-05	7.6e-06	
0	7.6e-06	
		
0	7.4e-06	
1.5e-05	7.4e-06	
		
1.5e-05	7.2e-06	
0	7.2e-06	
		
0	7e-06	
1.5e-05	7e-06	
		
1.5e-05	6.8e-06	
0	6.8e-06	
		
0	6.6e-06	
1.5e-05	6.6e-06	
		
1.5e-05	6.4e-06	
0	6.4e-06	
		
0	6.2e-06	
1.5e-05	6.2e-06	
		
1.5e-05	6e-06	
0	6e-06	
		
0	5.8e-06	
1.5e-05	5.8e-06	
		
1.5e-05	5.6e-06	
0	5.6e-06	
		
0	5.4e-06	
1.5e-05	5.4e-06	
		
1.5e-05	5.2e-06	
0	5.2e-06	
		
0	5e-06	
1.5e-05	5e-06	
		
1.5e-05	4.8e-06	
0	4.8e-06	
		
0	4.6e-06	
1.5e-05	4.6e-06	
		
1.5e-05	4.4e-06	
0	4.4e-06	
		
0	4.2e-06	
1.5e-05	4.2e-06	
		
1.5e-05	4e-06	
0	4e-06	
		
0	3.8e-06	
1.5e-05	3.8e-06	
		
1.5e-05	3.6e-06	
0	3.6e-06	
		
0	3.4e-06	
1.5e-05	3.4e-06	
		
1.5e-05	3.2e-06	
0	3.2e-06	
		
0	3e-06	
1.5e-05	3e-06	
		
1.5e-05	2.8e-06	
0	2.8e-06	
		
0	2.6e-06	
1.5e-05	2.6e-06	
		
1.5e-05	2.4e-06	
0	2.4e-06	
		
0	2.2e-06	
1.5e-05	2.2e-06	
		
1.5e-05	2e-06	
0	2e-06	
		
0	1.8e-06	
1.5e-05	1.8e-06	
		
1.5e-05	1.6e-06	
0	1.6e-06	
		
0	1.4e-06	
1.5e-05	1.4e-06	
		
1.5e-05	1.2e-06	
0	1.2e-06	
		
0	1e-06	
1.5e-05	1e-06	
		
1.5e-05	8e-07	
0	8e-07	
		
0	6e-07	
1.5e-05	6e-07	
		
1.5e-05	4e-07	
0	4e-07	
		
0	2e-07	
1.5e-05	2e-07	
		
