XLitho	YLitho	wavelength
7.477341e-07	1.394279e-05	495
1.064955e-06	1.394279e-05	
		
1.110272e-06	1.371422e-05	
1.47281e-06	1.371422e-05	
		
1.699396e-06	1.348565e-05	
2.061934e-06	1.348565e-05	
		
2.28852e-06	1.325708e-05	
2.673716e-06	1.325708e-05	
		
2.787009e-06	1.302851e-05	
3.172205e-06	1.302851e-05	
		
1.110272e-06	3.428555e-06	
1.404834e-06	3.428555e-06	
		
1.336858e-06	3.657125e-06	
1.676737e-06	3.657125e-06	
		
1.540785e-06	3.885695e-06	
1.903323e-06	3.885695e-06	
		
1.812689e-06	4.114265e-06	
2.152568e-06	4.114265e-06	
		
2.016616e-06	4.342836e-06	
2.311178e-06	4.342836e-06	
		
2.197885e-06	4.571406e-06	
2.560423e-06	4.571406e-06	
		
2.469789e-06	4.799976e-06	
2.809668e-06	4.799976e-06	
		
2.696375e-06	5.028547e-06	
3.013595e-06	5.028547e-06	
		
2.945619e-06	5.257117e-06	
3.240181e-06	5.257117e-06	
		
3.149547e-06	5.485687e-06	
3.512085e-06	5.485687e-06	
		
3.466767e-06	5.714258e-06	
1.085347e-05	5.714258e-06	
		
3.670695e-06	5.942828e-06	
1.071752e-05	5.942828e-06	
		
3.851964e-07	3.199984e-06	
1.497734e-05	3.199984e-06	
		
4.07855e-07	2.971414e-06	
1.497734e-05	2.971414e-06	
		
3.466767e-06	4.571406e-07	
1.067221e-05	4.571406e-07	
		
3.149547e-06	6.857109e-07	
1.098943e-05	6.857109e-07	
		
4.23716e-06	2.285703e-07	
6.865559e-06	2.285703e-07	
		
4.531722e-06	0	
6.616314e-06	0	
		
4.373112e-06	9.142812e-07	
6.820242e-06	9.142812e-07	
		
4.509063e-06	1.142852e-06	
6.593656e-06	1.142852e-06	
		
8.179758e-06	2.285703e-07	
1.067221e-05	2.285703e-07	
		
8.247734e-06	0	
1.055891e-05	0	
		
8.1571e-06	9.142812e-07	
1.064955e-05	9.142812e-07	
		
8.361027e-06	1.142852e-06	
1.035498e-05	1.142852e-06	
		
4.282477e-06	2.742844e-06	
6.797583e-06	2.742844e-06	
		
4.622356e-06	2.514273e-06	
6.503021e-06	2.514273e-06	
		
4.282477e-06	3.428555e-06	
6.888218e-06	3.428555e-06	
		
4.531722e-06	3.657125e-06	
6.68429e-06	3.657125e-06	
		
8.111782e-06	3.428555e-06	
1.071752e-05	3.428555e-06	
		
8.338369e-06	3.657125e-06	
1.055891e-05	3.657125e-06	
		
8.111782e-06	2.742844e-06	
