XLitho	YLitho	wavelength
1.009432e-05	1.455882e-05	774
1.206225e-05	1.455882e-05	
		
1.009432e-05	1.433824e-05	
1.208541e-05	1.433824e-05	
		
1.004802e-05	1.411765e-05	
1.208541e-05	1.411765e-05	
		
1.004802e-05	1.389706e-05	
1.210856e-05	1.389706e-05	
		
1.011748e-05	1.367647e-05	
1.20391e-05	1.367647e-05	
		
1.009432e-05	1.345588e-05	
1.206225e-05	1.345588e-05	
		
1.009432e-05	1.323529e-05	
1.20391e-05	1.323529e-05	
		
1.011748e-05	1.301471e-05	
1.20391e-05	1.301471e-05	
		
1.009432e-05	1.279412e-05	
1.206225e-05	1.279412e-05	
		
1.007117e-05	1.257353e-05	
1.208541e-05	1.257353e-05	
		
1.099726e-05	1.235294e-05	
1.122878e-05	1.235294e-05	
		
1.09741e-05	1.213235e-05	
1.113617e-05	1.213235e-05	
		
1.099726e-05	1.191176e-05	
1.115932e-05	1.191176e-05	
		
1.095095e-05	1.169118e-05	
1.111302e-05	1.169118e-05	
		
1.095095e-05	1.147059e-05	
1.111302e-05	1.147059e-05	
		
1.09278e-05	1.125e-05	
1.113617e-05	1.125e-05	
		
1.095095e-05	1.102941e-05	
1.118247e-05	1.102941e-05	
		
1.09278e-05	1.080882e-05	
1.118247e-05	1.080882e-05	
		
1.095095e-05	1.058824e-05	
1.120563e-05	1.058824e-05	
		
1.09741e-05	1.036765e-05	
1.120563e-05	1.036765e-05	
		
1.09741e-05	1.014706e-05	
1.120563e-05	1.014706e-05	
		
1.095095e-05	9.926471e-06	
1.120563e-05	9.926471e-06	
		
1.08815e-05	9.705882e-06	
1.472475e-05	9.705882e-06	
		
1.456268e-05	9.485294e-06	
1.47479e-05	9.485294e-06	
		
1.456268e-05	9.264706e-06	
1.467844e-05	9.264706e-06	
		
1.449323e-05	9.044118e-06	
1.470159e-05	9.044118e-06	
		
1.470159e-05	8.823529e-06	
9.214543e-06	8.823529e-06	
		
9.168239e-06	8.602941e-06	
9.39976e-06	8.602941e-06	
		
9.214543e-06	8.382353e-06	
9.376608e-06	8.382353e-06	
		
9.168239e-06	8.161765e-06	
9.353456e-06	8.161765e-06	
		
9.237695e-06	7.941176e-06	
1.465529e-05	7.941176e-06	
		
1.449323e-05	7.720588e-06	
1.463214e-05	7.720588e-06	
		
1.449323e-05	7.5e-06	
1.463214e-05	7.5e-06	
		
1.447007e-05	7.279412e-06	
1.470159e-05	7.279412e-06	
		
1.463214e-05	7.058824e-06	
9.237695e-06	7.058824e-06	
		
9.168239e-06	6.838235e-06	
9.330304e-06	6.838235e-06	
		
9.168239e-06	6.617647e-06	
9.330304e-06	6.617647e-06	
		
9.191391e-06	6.397059e-06	
9.330304e-06	6.397059e-06	
		
9.191391e-06	6.176471e-06	
1.463214e-05	6.176471e-06	
		
1.447007e-05	5.955882e-06	
1.460899e-05	5.955882e-06	
		
1.449323e-05	5.735294e-06	
1.463214e-05	5.735294e-06	
		
1.449323e-05	5.514706e-06	
1.465529e-05	5.514706e-06	
		
1.463214e-05	5.294118e-06	
9.237695e-06	5.294118e-06	
		
9.191391e-06	5.073529e-06	
9.376608e-06	5.073529e-06	
		
9.214543e-06	4.852941e-06	
9.376608e-06	4.852941e-06	
		
9.191391e-06	4.632353e-06	
9.376608e-06	4.632353e-06	
		
9.237695e-06	4.411765e-06	
1.470159e-05	4.411765e-06	
		
1.451638e-05	4.191176e-06	
1.467844e-05	4.191176e-06	
		
1.447007e-05	3.970588e-06	
1.470159e-05	3.970588e-06	
		
1.449323e-05	3.75e-06	
1.467844e-05	3.75e-06	
		
1.467844e-05	3.529412e-06	
9.237695e-06	3.529412e-06	
		
9.191391e-06	3.308824e-06	
9.353456e-06	3.308824e-06	
		
9.168239e-06	3.088235e-06	
9.330304e-06	3.088235e-06	
		
9.191391e-06	2.867647e-06	
9.330304e-06	2.867647e-06	
		
9.145087e-06	2.647059e-06	
1.467844e-05	2.647059e-06	
		
1.444692e-05	2.426471e-06	
1.463214e-05	2.426471e-06	
		
1.447007e-05	2.205882e-06	
1.460899e-05	2.205882e-06	
		
1.442377e-05	1.985294e-06	
1.463214e-05	1.985294e-06	
		
1.465529e-05	1.764706e-06	
9.237695e-06	1.764706e-06	
		
9.191391e-06	1.544118e-06	
9.376608e-06	1.544118e-06	
		
9.214543e-06	1.323529e-06	
9.376608e-06	1.323529e-06	
		
9.191391e-06	1.102941e-06	
9.39976e-06	1.102941e-06	
		
9.191391e-06	8.823529e-07	
1.289573e-05	8.823529e-07	
		
1.277997e-05	6.617647e-07	
1.291888e-05	6.617647e-07	
		
1.273366e-05	4.411765e-07	
1.291888e-05	4.411765e-07	
		
1.273366e-05	2.205882e-07	
1.289573e-05	2.205882e-07	
		
1.291888e-05	0	
1.157606e-07	0	
		
4.630424e-08	2.205882e-07	
2.315212e-07	2.205882e-07	
		
2.315212e-08	4.411765e-07	
2.315212e-07	4.411765e-07	
		
2.315212e-08	6.617647e-07	
2.546733e-07	6.617647e-07	
		
2.315212e-08	8.823529e-07	
2.315212e-07	8.823529e-07	
		
0	1.102941e-06	
2.546733e-07	1.102941e-06	
		
6.945635e-08	1.323529e-06	
2.315212e-07	1.323529e-06	
		
6.945635e-08	1.544118e-06	
2.778254e-07	1.544118e-06	
		
6.945635e-08	1.764706e-06	
2.778254e-07	1.764706e-06	
		
0	1.985294e-06	
2.546733e-07	1.985294e-06	
		
4.630424e-08	2.205882e-06	
2.315212e-07	2.205882e-06	
		
2.315212e-08	2.426471e-06	
2.546733e-07	2.426471e-06	
		
0	2.647059e-06	
2.778254e-07	2.647059e-06	
		
4.630424e-08	2.867647e-06	
2.315212e-07	2.867647e-06	
		
2.315212e-08	3.088235e-06	
2.546733e-07	3.088235e-06	
		
2.315212e-08	3.308824e-06	
2.315212e-07	3.308824e-06	
		
4.630424e-08	3.529412e-06	
2.778254e-07	3.529412e-06	
		
2.315212e-08	3.75e-06	
2.778254e-07	3.75e-06	
		
2.315212e-08	3.970588e-06	
2.778254e-07	3.970588e-06	
		
2.315212e-08	4.191176e-06	
2.778254e-07	4.191176e-06	
		
0	4.411765e-06	
3.009775e-07	4.411765e-06	
		
0	4.632353e-06	
2.778254e-07	4.632353e-06	
		
0	4.852941e-06	
2.546733e-07	4.852941e-06	
		
4.630424e-08	5.073529e-06	
2.546733e-07	5.073529e-06	
		
4.630424e-08	5.294118e-06	
2.546733e-07	5.294118e-06	
		
2.315212e-08	5.514706e-06	
2.546733e-07	5.514706e-06	
		
4.630424e-08	5.735294e-06	
2.546733e-07	5.735294e-06	
		
2.315212e-08	5.955882e-06	
3.009775e-07	5.955882e-06	
		
0	6.176471e-06	
2.546733e-07	6.176471e-06	
		
0	6.397059e-06	
2.315212e-07	6.397059e-06	
		
2.315212e-08	6.617647e-06	
2.546733e-07	6.617647e-06	
		
2.315212e-08	6.838235e-06	
2.315212e-07	6.838235e-06	
		
2.315212e-08	7.058824e-06	
2.546733e-07	7.058824e-06	
		
0	7.279412e-06	
2.546733e-07	7.279412e-06	
		
2.315212e-08	7.5e-06	
2.315212e-07	7.5e-06	
		
0	7.720588e-06	
2.778254e-07	7.720588e-06	
		
2.315212e-08	7.941176e-06	
2.315212e-07	7.941176e-06	
		
2.315212e-08	8.161765e-06	
2.546733e-07	8.161765e-06	
		
2.315212e-08	8.382353e-06	
2.546733e-07	8.382353e-06	
		
2.315212e-08	8.602941e-06	
2.546733e-07	8.602941e-06	
		
4.630424e-08	8.823529e-06	
2.778254e-07	8.823529e-06	
		
2.315212e-08	9.044118e-06	
2.546733e-07	9.044118e-06	
		
4.630424e-08	9.264706e-06	
2.546733e-07	9.264706e-06	
		
2.315212e-08	9.485294e-06	
2.778254e-07	9.485294e-06	
		
4.630424e-08	9.705882e-06	
2.546733e-07	9.705882e-06	
		
2.315212e-08	9.926471e-06	
2.315212e-07	9.926471e-06	
		
0	1.014706e-05	
2.778254e-07	1.014706e-05	
		
2.315212e-08	1.036765e-05	
2.546733e-07	1.036765e-05	
		
2.315212e-08	1.058824e-05	
2.083691e-07	1.058824e-05	
		
4.630424e-08	1.080882e-05	
2.778254e-07	1.080882e-05	
		
4.630424e-08	1.102941e-05	
6.204768e-06	1.102941e-05	
		
6.042703e-06	1.080882e-05	
6.274224e-06	1.080882e-05	
		
6.042703e-06	1.058824e-05	
6.274224e-06	1.058824e-05	
		
6.089007e-06	1.036765e-05	
6.22792e-06	1.036765e-05	
		
5.996399e-06	1.014706e-05	
6.204768e-06	1.014706e-05	
		
6.019551e-06	9.926471e-06	
6.22792e-06	9.926471e-06	
		
