XLitho	YLitho	wavelength
6.848617e-08	1.43662e-05	294
4.268971e-06	1.43662e-05	
		
4.565745e-08	1.415493e-05	
4.246143e-06	1.415493e-05	
		
2.282872e-08	1.394366e-05	
4.246143e-06	1.394366e-05	
		
6.848617e-08	1.373239e-05	
4.268971e-06	1.373239e-05	
		
4.565745e-08	1.352113e-05	
4.246143e-06	1.352113e-05	
		
4.314629e-06	9.084507e-06	
1.235034e-05	9.084507e-06	
		
4.360286e-06	8.873239e-06	
1.230468e-05	8.873239e-06	
		
1.221337e-05	9.295775e-06	
1.246448e-05	9.295775e-06	
		
1.221337e-05	9.507042e-06	
1.2396e-05	9.507042e-06	
		
5.615866e-06	9.71831e-06	
1.2396e-05	9.71831e-06	
		
5.570209e-06	9.929577e-06	
1.235034e-05	9.929577e-06	
		
5.707181e-06	1.056338e-05	
1.235034e-05	1.056338e-05	
		
5.593037e-06	1.077465e-05	
1.2396e-05	1.077465e-05	
		
5.524551e-06	1.035211e-05	
5.73001e-06	1.035211e-05	
		
5.54738e-06	1.014085e-05	
5.707181e-06	1.014085e-05	
		
1.221337e-05	1.098592e-05	
1.244165e-05	1.098592e-05	
		
1.221337e-05	1.119718e-05	
1.244165e-05	1.119718e-05	
		
1.22362e-05	1.140845e-05	
1.246448e-05	1.140845e-05	
		
5.570209e-06	1.161972e-05	
1.246448e-05	1.161972e-05	
		
5.570209e-06	1.140845e-05	
1.225902e-05	1.140845e-05	
		
5.638695e-06	1.246479e-05	
1.2396e-05	1.246479e-05	
		
5.54738e-06	1.225352e-05	
1.241883e-05	1.225352e-05	
		
5.501722e-06	1.204225e-05	
5.638695e-06	1.204225e-05	
		
5.478894e-06	1.183099e-05	
5.684352e-06	1.183099e-05	
		
1.22362e-05	1.267606e-05	
1.246448e-05	1.267606e-05	
		
1.22362e-05	1.288732e-05	
1.251014e-05	1.288732e-05	
		
4.314629e-06	1.330986e-05	
1.241883e-05	1.330986e-05	
		
4.223314e-06	1.352113e-05	
1.244165e-05	1.352113e-05	
		
4.565745e-08	1.330986e-05	
4.383115e-06	1.330986e-05	
		
4.565745e-08	1.309859e-05	
4.2918e-06	1.309859e-05	
		
0	1.288732e-05	
4.246143e-06	1.288732e-05	
		
6.848617e-08	1.267606e-05	
4.2918e-06	1.267606e-05	
		
2.282872e-08	1.246479e-05	
4.246143e-06	1.246479e-05	
		
4.565745e-08	1.225352e-05	
4.268971e-06	1.225352e-05	
		
4.565745e-08	1.204225e-05	
4.2918e-06	1.204225e-05	
		
1.346895e-06	1.035211e-05	
4.268971e-06	1.035211e-05	
		
1.164265e-06	1.014085e-05	
4.2918e-06	1.014085e-05	
		
1.027293e-06	9.929577e-06	
4.2918e-06	9.929577e-06	
		
9.131489e-07	9.71831e-06	
4.268971e-06	9.71831e-06	
		
7.990053e-07	9.507042e-06	
4.268971e-06	9.507042e-06	
		
6.163755e-07	9.295775e-06	
4.2918e-06	9.295775e-06	
		
4.565745e-07	9.084507e-06	
