XLitho	YLitho	wavelength
1e-06	1e-06	57
1.3e-05	1e-06	
		
1.3e-05	1e-06	
1.3e-05	1.3e-05	
		
1.3e-05	1.3e-05	
1e-06	1.3e-05	
		
1e-06	1.3e-05	
1e-06	1e-06	
		
2e-06	3.5e-06	
3.5e-06	2e-06	
		
3.5e-06	2e-06	
2e-06	2e-06	
		
2e-06	2e-06	
2e-06	3.5e-06	
		
1.05e-05	2e-06	
1.2e-05	2e-06	
		
1.2e-05	2e-06	
1.2e-05	3.5e-06	
		
1.2e-05	3.5e-06	
1.05e-05	2e-06	
		
1.2e-05	1.05e-05	
1.2e-05	1.2e-05	
		
1.2e-05	1.2e-05	
1.05e-05	1.2e-05	
		
1.05e-05	1.2e-05	
1.2e-05	1.05e-05	
		
2e-06	1.2e-05	
3.5e-06	1.2e-05	
		
3.5e-06	1.2e-05	
2e-06	1.05e-05	
		
2e-06	1.05e-05	
2e-06	1.2e-05	
		
7e-06	7.5e-06	
6e-06	6e-06	
		
6e-06	6e-06	
8e-06	6e-06	
		
8e-06	6e-06	
7e-06	7.5e-06	
		
