XLitho	YLitho	wavelength
1e-06	7.5e-06	72
1e-06	8.5e-06	
		
2.5e-06	8.5e-06	
2.5e-06	7.5e-06	
		
4e-06	7.5e-06	
4e-06	8.5e-06	
		
5.5e-06	8.5e-06	
5.5e-06	7.5e-06	
		
7e-06	7.5e-06	
7e-06	8.5e-06	
		
8.5e-06	8.5e-06	
8.5e-06	7.5e-06	
		
1e-06	5.5e-06	
1e-06	6.5e-06	
		
2.5e-06	6.5e-06	
2.5e-06	5.5e-06	
		
4e-06	5.5e-06	
4e-06	6.5e-06	
		
5.5e-06	6.5e-06	
5.5e-06	5.5e-06	
		
7e-06	5.5e-06	
7e-06	6.5e-06	
		
8.5e-06	6.5e-06	
8.5e-06	5.5e-06	
		
1e-06	3.5e-06	
1e-06	4.5e-06	
		
2.5e-06	4.5e-06	
2.5e-06	3.5e-06	
		
4e-06	3.5e-06	
4e-06	4.5e-06	
		
5.5e-06	4.5e-06	
5.5e-06	3.5e-06	
		
7e-06	3.5e-06	
7e-06	4.5e-06	
		
8.5e-06	4.5e-06	
8.5e-06	3.5e-06	
		
1e-06	1.5e-06	
1e-06	2.5e-06	
		
2.5e-06	2.5e-06	
2.5e-06	1.5e-06	
		
4e-06	1.5e-06	
4e-06	2.5e-06	
		
5.5e-06	2.5e-06	
5.5e-06	1.5e-06	
		
7e-06	1.5e-06	
7e-06	2.5e-06	
		
8.5e-06	2.5e-06	
8.5e-06	1.5e-06	
		
